MS	Set_x	Set_y	Set_z	Set_Yaw	x	y	z	Yaw	inX	inY	inZ	inYaw	state_update	sig_flag	
19367	0	0.5	1.2	-0.460313	0.336208	0.43286	1.10811	-0.460313	0	0	0	0	1	0	
19396	0	0.5	1.2	-0.460313	0.336208	0.43286	1.10811	-0.460313	-0.1	0.1	0.1	0	1	0	
19427	0	0.5	1.2	-0.460313	0.336208	0.43286	1.10811	-0.460313	-0.1	0.1	0.1	0	1	0	
19456	0	0.5	1.2	-0.460313	0.336208	0.43286	1.10811	-0.460313	-0.1	0.1	0.1	0	1	0	
19516	0	0.5	1.2	-0.460313	0.336208	0.43286	1.10811	-0.460313	-0.1	0.1	0.1	0	1	0	
19547	0	0.5	1.2	-0.460313	0.335774	0.435205	1.10463	-0.457121	-0.1	0.1	0.1	0	1	0	
19576	0	0.5	1.2	-0.460313	0.335774	0.435205	1.10463	-0.457121	-0.1	0.1	0.1	0	1	0	
19636	0	0.5	1.2	-0.460313	0.335774	0.435205	1.10463	-0.457121	-0.1	0.1	0.1	0	1	0	
19667	0	0.5	1.2	-0.460313	0.335774	0.435205	1.10463	-0.457121	-0.1	0.1	0.1	0	1	0	
19697	0	0.5	1.2	-0.460313	0.335774	0.435205	1.10463	-0.457121	-0.1	0.1	0.1	0	1	0	
19726	0	0.5	1.2	-0.460313	0.335774	0.435205	1.10463	-0.457121	-0.1	0.1	0.1	0	1	0	
19757	0	0.5	1.2	-0.460313	0.335774	0.435205	1.10463	-0.457121	-0.1	0.1	0.1	0	1	0	
19817	0	0.5	1.2	-0.460313	0.334319	0.441935	1.10909	-0.454694	-0.1	0.1	0.1	0	1	0	
19846	0	0.5	1.2	-0.460313	0.334319	0.441935	1.10909	-0.454694	-0.1	0.1	0.1	0	1	0	
19877	0	0.5	1.2	-0.460313	0.334319	0.441935	1.10909	-0.454694	-0.1	0.1	0.1	0	1	0	
19937	0	0.5	1.2	-0.460313	0.334319	0.441935	1.10909	-0.454694	-0.1	0.1	0.1	0	1	0	
19966	0	0.5	1.2	-0.460313	0.334319	0.441935	1.10909	-0.454694	-0.1	0.1	0.1	0	1	0	
19998	0	0.5	1.2	-0.460313	0.334319	0.441935	1.10909	-0.454694	-0.1	0.1	0.1	0	1	0	
20057	0	0.5	1.2	-0.460313	0.319471	0.458536	1.12226	-0.451874	-0.1	0.1	0.1	0	1	0	
20087	0	0.5	1.2	-0.460313	0.319471	0.458536	1.12226	-0.451874	-0.1	0.1	0.1	0	1	0	
20117	0	0.5	1.2	-0.460313	0.319471	0.458536	1.12226	-0.451874	-0.1	0.1	0.1	0	1	0	
20177	0	0.5	1.2	-0.460313	0.319471	0.458536	1.12226	-0.451874	-0.1	0.1	0.1	0	1	0	
20207	0	0.5	1.2	-0.460313	0.319471	0.458536	1.12226	-0.451874	-0.1	0.1	0.1	0	1	0	
20237	0	0.5	1.2	-0.460313	0.319471	0.458536	1.12226	-0.451874	-0.1	0.1	0.1	0	1	0	
20267	0	0.5	1.2	-0.460313	0.319471	0.458536	1.12226	-0.451874	-0.1	0.1	0.1	0	1	0	
20297	0	0.5	1.2	-0.460313	0.289979	0.49342	1.14727	-0.452328	-0.1	0.1	0.1	0	1	0	
20357	0	0.5	1.2	-0.460313	0.289979	0.49342	1.14727	-0.452328	-0.1	0.1	0.1	0	1	0	
20395	0	0.5	1.2	-0.460313	0.289979	0.49342	1.14727	-0.452328	-0.1	0.1	0.1	0	1	0	
20417	0	0.5	1.2	-0.460313	0.289979	0.49342	1.14727	-0.452328	-0.1	0.1	0.1	0	1	0	
20477	0	0.5	1.2	-0.460313	0.289979	0.49342	1.14727	-0.452328	-0.1	0.1	0.1	0	1	0	
20507	0	0.5	1.2	-0.460313	0.289979	0.49342	1.14727	-0.452328	-0.1	0.1	0.1	0	1	0	
20537	0	0.5	1.2	-0.460313	0.247817	0.521446	1.14029	-0.448589	-0.1	0.1	0.1	0	1	0	
20597	0	0.5	1.2	-0.460313	0.247817	0.521446	1.14029	-0.448589	-0.1	-0.1	0.1	0	1	0	
20627	0	0.5	1.2	-0.460313	0.247817	0.521446	1.14029	-0.448589	-0.1	-0.1	0.1	0	1	0	
20657	0	0.5	1.2	-0.460313	0.247817	0.521446	1.14029	-0.448589	-0.1	-0.1	0.1	0	1	0	
20716	0	0.5	1.2	-0.460313	0.247817	0.521446	1.14029	-0.448589	-0.1	-0.1	0.1	0	1	0	
20777	0	0.5	1.2	-0.460313	0.247817	0.521446	1.14029	-0.448589	-0.1	-0.1	0.1	0	1	0	
20809	0	0.5	1.2	-0.460313	0.198262	0.563739	1.14554	-0.44832	-0.1	-0.1	0.1	0	1	0	
20837	0	0.5	1.2	-0.460313	0.198262	0.563739	1.14554	-0.44832	-0.1	-0.1	0.1	0	1	0	
20897	0	0.5	1.2	-0.460313	0.198262	0.563739	1.14554	-0.44832	-0.1	-0.1	0.1	0	1	0	
20926	0	0.5	1.2	-0.460313	0.198262	0.563739	1.14554	-0.44832	-0.1	-0.1	0.1	0	1	0	
20957	0	0.5	1.2	-0.460313	0.198262	0.563739	1.14554	-0.44832	-0.1	-0.1	0.1	0	1	0	
20987	0	0.5	1.2	-0.460313	0.198262	0.563739	1.14554	-0.44832	-0.1	-0.1	0.1	0	1	0	
21047	0	0.5	1.2	-0.460313	0.215072	0.590181	1.14283	-0.449862	-0.1	-0.1	0.1	0	1	0	
21077	0	0.5	1.2	-0.460313	0.215072	0.590181	1.14283	-0.449862	-0.1	-0.1	0.1	0	1	0	
21137	0	0.5	1.2	-0.460313	0.215072	0.590181	1.14283	-0.449862	-0.1	-0.1	0.1	0	1	0	
21166	0	0.5	1.2	-0.460313	0.215072	0.590181	1.14283	-0.449862	-0.1	-0.1	0.1	0	1	0	
21197	0	0.5	1.2	-0.460313	0.215072	0.590181	1.14283	-0.449862	-0.1	-0.1	0.1	0	1	0	
21227	0	0.5	1.2	-0.460313	0.215072	0.590181	1.14283	-0.449862	-0.1	-0.1	0.1	0	1	0	
