MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
4527	0.516465	0.510979	-1.15272	-0.0147426	0.000385456	0.0105909	0.0317174	0.0315547	-0.0312256	-0.0299959	-0.918032	-0.387003	
4546	0.516465	0.510979	-1.15272	-0.0147426	0.000385456	0.0105909	0.0317174	0.0315547	-0.0312256	-0.0299959	-0.918032	-0.387003	
4579	0.516465	0.510979	-1.15272	-0.0147426	0.000385456	0.0105909	0.0317174	0.0315547	-0.0312256	-0.0299959	-0.918032	-0.387003	
4612	0.516465	0.510979	-1.15272	-0.0147426	0.000385456	0.0105909	0.0317174	0.0315547	-0.0312256	-0.0299959	-0.918032	-0.387003	
4646	0.516465	0.510979	-1.15272	-0.0147426	0.000385456	0.0105909	0.0317174	0.0315547	-0.0312256	-0.0299959	-0.918032	-0.387003	
4679	0.516465	0.510979	-1.15272	-0.0147426	0.000385456	0.0105909	0.0317174	0.0315547	-0.0312256	-0.0299959	-0.918032	-0.387003	
4712	0.516465	0.510979	-1.15272	-0.0147426	0.000385456	0.0105909	0.0317174	0.0315547	-0.0312256	-0.0299959	-0.918032	-0.387003	
4746	0.516465	0.510979	-1.15272	-0.0147426	0.000385456	0.0105909	0.0317174	0.0315547	-0.0312256	-0.0299959	-0.918032	-0.387003	
4797	0.517451	0.511613	-1.15466	-0.00455451	0.00110509	0.000314674	0.03168	0.0319878	-0.031374	-0.0382635	-0.907917	-0.381251	
4812	0.517451	0.511613	-1.15466	-0.00455451	0.00110509	0.000314674	0.03168	0.0319878	-0.031374	-0.0382635	-0.907917	-0.381251	
4846	0.517451	0.511613	-1.15466	-0.00455451	0.00110509	0.000314674	0.03168	0.0319878	-0.031374	-0.0382635	-0.907917	-0.381251	
4883	0.517451	0.511613	-1.15466	-0.00455451	0.00110509	0.000314674	0.03168	0.0319878	-0.031374	-0.0382635	-0.907917	-0.381251	
4912	0.517451	0.511613	-1.15466	-0.00455451	0.00110509	0.000314674	0.03168	0.0319878	-0.031374	-0.0382635	-0.907917	-0.381251	
4946	0.517451	0.511613	-1.15466	-0.00455451	0.00110509	0.000314674	0.03168	0.0319878	-0.031374	-0.0382635	-0.907917	-0.381251	
4981	0.517451	0.511613	-1.15466	-0.00455451	0.00110509	0.000314674	0.03168	0.0319878	-0.031374	-0.0382635	-0.907917	-0.381251	
5031	0.516967	0.51112	-1.15417	-0.00320611	5.25776e-05	0.00137953	0.0316002	0.0321381	-0.0314173	-0.0398423	-0.913391	-0.382026	
5046	0.516967	0.51112	-1.15417	-0.00320611	5.25776e-05	0.00137953	0.0316002	0.0321381	-0.0314173	-0.0398423	-0.913391	-0.382026	
5079	0.516967	0.51112	-1.15417	-0.00320611	5.25776e-05	0.00137953	0.0316002	0.0321381	-0.0314173	-0.0398423	-0.913391	-0.382026	
5112	0.516967	0.51112	-1.15417	-0.00320611	5.25776e-05	0.00137953	0.0316002	0.0321381	-0.0314173	-0.0398423	-0.913391	-0.382026	
5146	0.516967	0.51112	-1.15417	-0.00320611	5.25776e-05	0.00137953	0.0316002	0.0321381	-0.0314173	-0.0398423	-0.913391	-0.382026	
5183	0.516967	0.51112	-1.15417	-0.00320611	5.25776e-05	0.00137953	0.0316002	0.0321381	-0.0314173	-0.0398423	-0.913391	-0.382026	
5215	0.516967	0.51112	-1.15417	-0.00320611	5.25776e-05	0.00137953	0.0316002	0.0321381	-0.0314173	-0.0398423	-0.913391	-0.382026	
5246	0.516967	0.51112	-1.15417	-0.00320611	5.25776e-05	0.00137953	0.0316002	0.0321381	-0.0314173	-0.0398423	-0.913391	-0.382026	
5297	0.516385	0.508706	-1.1546	-0.00264124	-0.00299697	-0.000550956	0.0316037	0.0328719	-0.0314959	-0.0398985	-0.913931	-0.381888	
5312	0.516385	0.508706	-1.1546	-0.00264124	-0.00299697	-0.000550956	0.0316037	0.0328719	-0.0314959	-0.0398985	-0.913931	-0.381888	
5346	0.516385	0.508706	-1.1546	-0.00264124	-0.00299697	-0.000550956	0.0316037	0.0328719	-0.0314959	-0.0398985	-0.913931	-0.381888	
5379	0.516385	0.508706	-1.1546	-0.00264124	-0.00299697	-0.000550956	0.0316037	0.0328719	-0.0314959	-0.0398985	-0.913931	-0.381888	
5412	0.516385	0.508706	-1.1546	-0.00264124	-0.00299697	-0.000550956	0.0316037	0.0328719	-0.0314959	-0.0398985	-0.913931	-0.381888	
5447	0.516385	0.508706	-1.1546	-0.00264124	-0.00299697	-0.000550956	0.0316037	0.0328719	-0.0314959	-0.0398985	-0.913931	-0.381888	
5479	0.516385	0.508706	-1.1546	-0.00264124	-0.00299697	-0.000550956	0.0316037	0.0328719	-0.0314959	-0.0398985	-0.913931	-0.381888	
5527	0.518807	0.511339	-1.1551	0.00378974	0.00295202	-0.00164527	0.0315319	0.0324154	-0.0318252	-0.0387854	-0.915295	-0.377559	
