MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
5037	0	0	0	0.0653255	-0.10408	0.366285	0.0443314	0.0240332	-0.101875	0.000680455	0.000849547	0.000685044	
5288	0.0974471	0.413542	0.447569	0.0754776	-0.103579	0.371411	0.0443211	0.0240703	-0.101891	0.00114265	0.000202652	0.00047962	
5537	0.0973197	0.413914	0.44756	0.0736249	-0.103002	0.371142	0.0442619	0.0240077	-0.101872	0.000730674	0.000350818	0.000657123	
5788	0.0974949	0.41341	0.44755	0.0828579	-0.0929217	0.37584	0.0444416	0.0238169	-0.101855	0.00100414	0.000466158	0.000602463	
6040	0.0973321	0.413888	0.44751	0.0827978	-0.0959846	0.383475	0.0446777	0.0234302	-0.101815	0.00044349	0.000411875	0.000633	
6287	0.097434	0.413494	0.447576	0.0849936	-0.0852006	0.383433	0.0448557	0.022947	-0.101779	0.000613959	0.000302008	0.000581329	
6537	0.097288	0.414252	0.447498	0.0803249	-0.0899373	0.376339	0.0449601	0.0227983	-0.101789	0.00082215	0.000222994	0.000437767	
6788	0.0973818	0.414589	0.4493	0.0672818	-0.0839758	0.385926	0.0448827	0.0226287	-0.101818	0.000480639	0.000804536	0.000501763	
7037	0.0975045	0.416339	0.459159	0.0635899	-0.0900559	0.37258	0.0447998	0.0226177	-0.10185	0.000944174	0.00054953	0.000170911	
7287	0.100174	0.414058	0.44996	0.0668331	-0.0891351	0.373613	0.0447559	0.0228987	-0.101929	0.000532525	0.000558931	0.000440182	
7538	0.100216	0.41403	0.449996	0.071327	-0.0936884	0.371013	0.0445597	0.0229699	-0.101997	0.00070338	0.000209446	0.000384167	
7788	0.100015	0.414742	0.449935	0.0675946	-0.0953691	0.371314	0.0444438	0.0231427	-0.102014	0.000551678	0.000469587	0.000586791	
8037	0.100213	0.41389	0.450036	0.068079	-0.0960813	0.368356	0.0442726	0.0232118	-0.10203	0.000754091	0.000317263	0.000304593	
8288	0.100036	0.414243	0.449973	0.0658608	-0.0956739	0.366502	0.0442518	0.0234017	-0.102071	0.000553121	0.000233908	0.00053678	
8537	0.0999332	0.414287	0.449961	0.0684059	-0.0943959	0.37192	0.0443199	0.0234478	-0.10207	0.000570971	0.000386976	0.000808823	
8788	0.100025	0.414082	0.44996	0.0610859	-0.0973393	0.365938	0.0442679	0.0234478	-0.102006	0.000571175	0.000571197	0.000736281	
9037	0.100304	0.412991	0.450071	0.0641371	-0.099614	0.364964	0.0441338	0.023674	-0.101976	0.000850782	0.000333964	0.000576987	
9288	0.100323	0.412908	0.450077	0.0618854	-0.101315	0.364389	0.0441513	0.0239372	-0.102023	0.000873265	0.000429137	0.000356816	
9538	0.100314	0.41297	0.450064	0.0621525	-0.105567	0.364125	0.0440462	0.0241711	-0.102039	0.00106389	0.000179771	0.000483954	
9788	0.100275	0.413192	0.450062	0.0611853	-0.104345	0.363196	0.0440309	0.0243606	-0.102081	0.000918344	0.000432518	0.000391255	
10038	0.100208	0.413365	0.450036	0.0687254	-0.102599	0.367545	0.0441733	0.02445	-0.102099	0.00111448	0.000486278	0.000531725	
10288	0.100629	0.412637	0.450095	0.0650695	-0.10958	0.364913	0.0442041	0.0246023	-0.102112	0.000842576	0.000325533	0.000666056	
