MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
6876	0.281481	0.0625214	-0.824031	1.12193	0.246086	-3.30012	-0.0397558	-0.190007	-0.0410818	-0.163023	-0.764026	-0.168327	
7126	0.282081	0.0617999	-0.824199	0.00239682	-0.00288601	-0.000673771	-0.0395706	-0.189814	-0.0411222	0.000740811	0.000768483	-0.00016138	
7375	0.281036	0.062407	-0.824356	-0.00417876	0.00242831	-0.000628233	-0.0395126	-0.189503	-0.0411862	0.000231937	0.00124532	-0.000256032	
7627	0.280658	0.0641633	-0.825311	-0.00151026	0.0070253	-0.00381637	-0.03939	-0.189349	-0.0412291	0.000490457	0.000616491	-0.000171825	
7876	0.280758	0.0647706	-0.826133	0.000397205	0.00242925	-0.00328875	-0.0393438	-0.18946	-0.0412269	0.000184819	-0.000442505	9.16421e-06	
8126	0.281621	0.0629276	-0.82526	0.0034554	-0.00737217	0.00349283	-0.0393139	-0.189421	-0.0412182	0.000119537	0.000153065	3.47942e-05	
8376	0.281872	0.0620631	-0.824828	0.00100231	-0.00345781	0.00172734	-0.039378	-0.189512	-0.0411608	-0.000256211	-0.000360966	0.000229493	
8625	0.281441	0.0619391	-0.824805	-0.00172377	-0.000496149	8.98838e-05	-0.0393922	-0.189569	-0.0411784	-5.6833e-05	-0.000228345	-7.03782e-05	
8876	0.28066	0.0631548	-0.823936	-0.0031234	0.00486308	0.00347781	-0.0394947	-0.189979	-0.0411662	-0.000409886	-0.00164139	4.86821e-05	
9126	0.278874	0.0646594	-0.829005	-0.0071435	0.00601846	-0.0202768	-0.0390904	-0.189663	-0.0413951	0.00161715	0.0012632	-0.000915647	
9376	0.28092	0.0623213	-0.824929	0.00818276	-0.00935252	0.0163028	-0.0394393	-0.189566	-0.0412197	-0.00139567	0.000388622	0.000701681	
9625	0.28178	0.0637758	-0.825218	0.00343788	0.00581802	-0.00115561	-0.0394314	-0.189627	-0.0410107	3.14564e-05	-0.000244141	0.000835866	
9876	0.280381	0.0646053	-0.825149	-0.00559604	0.00331783	0.000275373	-0.0394529	-0.18979	-0.0411256	-8.59648e-05	-0.000652552	-0.000459552	
10125	0.280876	0.0643129	-0.825952	0.00198138	-0.00116971	-0.00321221	-0.0394058	-0.189549	-0.0411513	0.000188619	0.000964105	-0.000102594	
10376	0.27995	0.0646015	-0.826328	-0.00370288	0.0011546	-0.00150061	-0.0394189	-0.189471	-0.0412136	-5.23776e-05	0.000312805	-0.00024946	
