MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
7147	0.282072	0.0618158	-0.824199	3.41641e-06	-1.68341e-06	-2.5464e-06	0.0620908	0.0249213	-0.260876	-0.00180485	-0.00208493	0.00628501	
7162	0.282072	0.0618158	-0.824199	3.41641e-06	-1.68341e-06	-2.5464e-06	0.0620908	0.0249213	-0.260876	-0.00180485	-0.00208493	0.00628501	
7196	0.282072	0.0618158	-0.824199	3.41641e-06	-1.68341e-06	-2.5464e-06	0.0620908	0.0249213	-0.260876	-0.00180485	-0.00208493	0.00628501	
7229	0.282072	0.0618158	-0.824199	3.41641e-06	-1.68341e-06	-2.5464e-06	0.0620908	0.0249213	-0.260876	-0.00180485	-0.00208493	0.00628501	
7262	0.282072	0.0618158	-0.824199	3.41641e-06	-1.68341e-06	-2.5464e-06	0.0620908	0.0249213	-0.260876	-0.00180485	-0.00208493	0.00628501	
7296	0.282072	0.0618158	-0.824199	3.41641e-06	-1.68341e-06	-2.5464e-06	0.0620908	0.0249213	-0.260876	-0.00180485	-0.00208493	0.00628501	
7334	0.282072	0.0618158	-0.824199	3.41641e-06	-1.68341e-06	-2.5464e-06	0.0620908	0.0249213	-0.260876	-0.00180485	-0.00208493	0.00628501	
7362	0.282072	0.0618158	-0.824199	3.41641e-06	-1.68341e-06	-2.5464e-06	0.0620908	0.0249213	-0.260876	-0.00180485	-0.00208493	0.00628501	
7407	0.281036	0.062407	-0.824357	-0.00109888	7.90621e-05	-0.000326323	0.0621244	0.0245871	-0.260963	-0.179339	-0.431705	0.707455	
7429	0.281036	0.062407	-0.824357	-0.00109888	7.90621e-05	-0.000326323	0.0621244	0.0245871	-0.260963	-0.179339	-0.431705	0.707455	
7462	0.281036	0.062407	-0.824357	-0.00109888	7.90621e-05	-0.000326323	0.0621244	0.0245871	-0.260963	-0.179339	-0.431705	0.707455	
7496	0.281036	0.062407	-0.824357	-0.00109888	7.90621e-05	-0.000326323	0.0621244	0.0245871	-0.260963	-0.179339	-0.431705	0.707455	
7529	0.281036	0.062407	-0.824357	-0.00109888	7.90621e-05	-0.000326323	0.0621244	0.0245871	-0.260963	-0.179339	-0.431705	0.707455	
7563	0.281036	0.062407	-0.824357	-0.00109888	7.90621e-05	-0.000326323	0.0621244	0.0245871	-0.260963	-0.179339	-0.431705	0.707455	
7596	0.281036	0.062407	-0.824357	-0.00109888	7.90621e-05	-0.000326323	0.0621244	0.0245871	-0.260963	-0.179339	-0.431705	0.707455	
7644	0.280658	0.0641633	-0.825311	-0.00221312	0.003329	-0.00316821	0.0621421	0.0244685	-0.261238	-0.190213	-0.784314	0.88085	
7666	0.280658	0.0641633	-0.825311	-0.00221312	0.003329	-0.00316821	0.0621421	0.0244685	-0.261238	-0.190213	-0.784314	0.88085	
7696	0.280658	0.0641633	-0.825311	-0.00221312	0.003329	-0.00316821	0.0621421	0.0244685	-0.261238	-0.190213	-0.784314	0.88085	
7729	0.280658	0.0641633	-0.825311	-0.00221312	0.003329	-0.00316821	0.0621421	0.0244685	-0.261238	-0.190213	-0.784314	0.88085	
7763	0.280658	0.0641633	-0.825311	-0.00221312	0.003329	-0.00316821	0.0621421	0.0244685	-0.261238	-0.190213	-0.784314	0.88085	
7796	0.280658	0.0641633	-0.825311	-0.00221312	0.003329	-0.00316821	0.0621421	0.0244685	-0.261238	-0.190213	-0.784314	0.88085	
7829	0.280658	0.0641633	-0.825311	-0.00221312	0.003329	-0.00316821	0.0621421	0.0244685	-0.261238	-0.190213	-0.784314	0.88085	
7862	0.280658	0.0641633	-0.825311	-0.00221312	0.003329	-0.00316821	0.0621421	0.0244685	-0.261238	-0.190213	-0.784314	0.88085	
7909	0.280758	0.0647706	-0.826133	-0.00100795	0.00288666	-0.00329762	0.0621341	0.0244849	-0.261455	-0.190537	-0.824349	0.915755	
7929	0.280758	0.0647706	-0.826133	-0.00100795	0.00288666	-0.00329762	0.0621341	0.0244849	-0.261455	-0.190537	-0.824349	0.915755	
7962	0.280758	0.0647706	-0.826133	-0.00100795	0.00288666	-0.00329762	0.0621341	0.0244849	-0.261455	-0.190537	-0.824349	0.915755	
7996	0.280758	0.0647706	-0.826133	-0.00100795	0.00288666	-0.00329762	0.0621341	0.0244849	-0.261455	-0.190537	-0.824349	0.915755	
8029	0.280758	0.0647706	-0.826133	-0.00100795	0.00288666	-0.00329762	0.0621341	0.0244849	-0.261455	-0.190537	-0.824349	0.915755	
8063	0.280758	0.0647706	-0.826133	-0.00100795	0.00288666	-0.00329762	0.0621341	0.0244849	-0.261455	-0.190537	-0.824349	0.915755	
8096	0.280758	0.0647706	-0.826133	-0.00100795	0.00288666	-0.00329762	0.0621341	0.0244849	-0.261455	-0.190537	-0.824349	0.915755	
8146	0.281621	0.0629276	-0.82526	0.00258381	-0.00206263	0.00209421	0.0620953	0.0244395	-0.261656	-0.188961	-0.849066	0.923726	
8162	0.281621	0.0629276	-0.82526	0.00258381	-0.00206263	0.00209421	0.0620953	0.0244395	-0.261656	-0.188961	-0.849066	0.923726	
8201	0.281621	0.0629276	-0.82526	0.00258381	-0.00206263	0.00209421	0.0620953	0.0244395	-0.261656	-0.188961	-0.849066	0.923726	
8229	0.281621	0.0629276	-0.82526	0.00258381	-0.00206263	0.00209421	0.0620953	0.0244395	-0.261656	-0.188961	-0.849066	0.923726	
8263	0.281621	0.0629276	-0.82526	0.00258381	-0.00206263	0.00209421	0.0620953	0.0244395	-0.261656	-0.188961	-0.849066	0.923726	
8296	0.281621	0.0629276	-0.82526	0.00258381	-0.00206263	0.00209421	0.0620953	0.0244395	-0.261656	-0.188961	-0.849066	0.923726	
8329	0.281621	0.0629276	-0.82526	0.00258381	-0.00206263	0.00209421	0.0620953	0.0244395	-0.261656	-0.188961	-0.849066	0.923726	
8362	0.281621	0.0629276	-0.82526	0.00258381	-0.00206263	0.00209421	0.0620953	0.0244395	-0.261656	-0.188961	-0.849066	0.923726	
8415	0.281872	0.0620631	-0.824828	0.00203279	-0.00267504	0.0019989	0.0621108	0.0245208	-0.261779	-0.188747	-0.854183	0.930568	
8429	0.281872	0.0620631	-0.824828	0.00203279	-0.00267504	0.0019989	0.0621108	0.0245208	-0.261779	-0.188747	-0.854183	0.930568	
8462	0.281872	0.0620631	-0.824828	0.00203279	-0.00267504	0.0019989	0.0621108	0.0245208	-0.261779	-0.188747	-0.854183	0.930568	
