MS	x	y	z	vx	vy	vz	rx	py	yz	rx_dot	py_dot	yz_dot	
3568	0.599293	0.690497	-1.26654	-0.000161382	-0.00018244	0	0.0318299	0.0310117	0.122661	2.39317	2.75799	-5.07016	
3818	0.599875	0.689714	-1.26601	-0.000175339	-0.000170943	0	0.0317995	0.0310271	0.122534	2.27218	2.63481	-5.55468	
4068	0.599961	0.690999	-1.26632	-0.000175557	-0.000214291	0	0.0318127	0.030887	0.122421	2.27265	2.63989	-5.55543	
4318	0.599686	0.691229	-1.2663	-0.000171291	-0.000186691	0	0.0318443	0.0308011	0.122334	2.27149	2.64137	-5.55488	
4568	0.599577	0.691627	-1.26655	-0.000196282	-0.0002252	0	0.0318418	0.0308442	0.122194	2.27093	2.6433	-5.55555	
4818	0.599421	0.690634	-1.26655	-0.000122501	-0.00017375	0	0.0318298	0.0310145	0.12202	2.27032	2.63916	-5.55496	
5068	0.599428	0.690028	-1.26654	-0.000155847	-0.000191757	0	0.0317193	0.031528	0.121834	2.27039	2.63605	-5.55423	
5317	0.598964	0.688405	-1.26643	-0.00015561	-0.000157038	0	0.0317297	0.0317195	0.121692	2.26898	2.62751	-5.55305	
5568	0.599639	0.688576	-1.2657	-0.000153917	-0.000158839	0	0.0317518	0.0317846	0.121496	2.27164	2.62742	-5.54958	
5819	0.599668	0.689122	-1.26589	-0.000185692	-0.000175945	0	0.0317981	0.0315239	0.121264	2.27166	2.62935	-5.54955	
6068	0.599343	0.688973	-1.26592	-0.000214636	-0.00023425	0	0.0317781	0.0311556	0.121067	2.27018	2.6298	-5.54875	
6318	0.599752	0.689469	-1.26619	-0.00017451	-0.000254777	0	0.0317578	0.0309563	0.120968	2.2719	2.63326	-5.54902	
6568	0.599449	0.690111	-1.26642	-0.000235285	-0.000147069	0	0.0318312	0.0310907	0.120763	2.27076	2.63662	-5.54957	
6818	0.599112	0.689545	-1.26657	-0.000171749	-0.000177092	0	0.0319074	0.031254	0.120564	2.26912	2.63382	-5.54934	
7068	0.599456	0.688509	-1.26639	-0.000147423	-0.000202729	0	0.0319178	0.0312767	0.120344	2.27019	2.62902	-5.54781	
7318	0.599206	0.688266	-1.26627	-0.000227705	-0.000208722	0	0.0319329	0.0313967	0.120164	2.26915	2.62796	-5.54645	
7568	0.599471	0.688067	-1.26634	-0.000132482	-0.000202541	0	0.0318882	0.0315438	0.119992	2.27015	2.62668	-5.54602	
7818	0.599681	0.687262	-1.26607	-0.000131816	-0.000170059	0	0.0319071	0.0313671	0.119836	2.27117	2.62287	-5.54425	
8068	0.599412	0.687477	-1.26585	-0.000183509	-0.0001858	0	0.0319548	0.0311687	0.119722	2.27002	2.62444	-5.54274	
8318	0.599677	0.68728	-1.26575	-0.000188454	-0.000229882	0	0.0319823	0.0311662	0.119572	2.27089	2.62445	-5.54189	
8570	0.60016	0.689035	-1.26562	-0.000192396	-0.000225855	0	0.0318896	0.031255	0.119371	2.27271	2.63147	-5.54077	
8818	0.600021	0.69004	-1.26591	-0.000133778	-0.000172503	0	0.0318485	0.0311708	0.119253	2.27253	2.63514	-5.54112	
9067	0.600195	0.689441	-1.26599	-0.000159651	-0.000203026	0	0.0318472	0.0310588	0.119126	2.27339	2.63308	-5.54096	
9318	0.599648	0.689848	-1.26626	-0.000220484	-0.00021868	0	0.0318231	0.030866	0.119031	2.2712	2.63516	-5.54156	
9568	0.600084	0.689853	-1.266	-0.000185516	-0.000191587	0	0.0318156	0.0308715	0.118917	2.27305	2.63595	-5.54011	
9818	0.600155	0.690466	-1.26612	-0.000133563	-0.000154561	0	0.0317002	0.0307349	0.118729	2.27336	2.63838	-5.54014	
10068	0.599821	0.688779	-1.26617	-0.000190181	-0.000250274	0	0.0317831	0.0307181	0.118532	2.27248	2.63218	-5.5396	
